iter	Logloss
0	0.6841055569
1	0.6758188179
2	0.6669147906
3	0.6609720898
4	0.6522715012
5	0.6466338052
6	0.6380331352
7	0.632813173
8	0.626220612
9	0.6206241787
10	0.6118108709
11	0.6048703486
12	0.5984489735
13	0.5930669885
14	0.5873332678
15	0.580427266
16	0.577358263
17	0.572213934
18	0.5664689843
19	0.5613319584
20	0.552710737
21	0.5467403246
22	0.5427791434
23	0.5354228441
24	0.5309187783
25	0.5242541048
26	0.5212768405
27	0.5162637991
28	0.5124689505
29	0.5081026202
30	0.5042035995
31	0.5015909651
32	0.498542857
33	0.4945844541
34	0.4909138222
35	0.4884075883
36	0.486194998
37	0.4821027311
38	0.4785510936
39	0.4749240504
40	0.4717439616
41	0.4690939176
42	0.4659042747
43	0.4643601339
44	0.4598308054
45	0.455140534
46	0.4516377013
47	0.4485953005
48	0.4458357543
49	0.4432549407
50	0.4405089245
51	0.4372586695
52	0.4339739535
53	0.4301529128
54	0.4278307041
55	0.4249129326
56	0.4228164781
57	0.421382394
58	0.4182381597
59	0.4168894687
60	0.4118300321
61	0.4091569273
62	0.4068765782
63	0.4045535639
64	0.4027435387
65	0.4015341961
66	0.3997464074
67	0.3982281611
68	0.3959108751
69	0.3948664612
70	0.393665887
71	0.3922992783
72	0.3909158314
73	0.3892562787
74	0.3883316901
75	0.3862525308
76	0.3848370831
77	0.3833120346
78	0.3822216666
79	0.380368051
80	0.3799714552
81	0.3781114516
82	0.3767914641
83	0.3758041109
84	0.3735889705
85	0.3722722061
86	0.3709464571
87	0.368953028
88	0.3676005487
89	0.3663990931
90	0.3651176354
91	0.3640992792
92	0.362636533
93	0.3614670526
94	0.3605940586
95	0.3593330911
96	0.3583175917
97	0.3571564291
98	0.3562732031
99	0.3556469891
100	0.3539260527
101	0.3525966597
102	0.3513750541
103	0.3503385278
104	0.3481134128
105	0.3466819814
106	0.3449770921
107	0.3438924292
108	0.3426861801
109	0.3417655513
110	0.3408093691
111	0.3400431394
112	0.3390592825
113	0.3379948325
114	0.3372092897
115	0.3359455539
116	0.3350263986
117	0.3333556033
118	0.3321551457
119	0.3295896835
120	0.3280689132
121	0.3271509862
122	0.3266483068
123	0.3256373137
124	0.3241924186
125	0.3231989712
126	0.322718384
127	0.322071297
128	0.3212423398
129	0.3205597758
130	0.3198707548
131	0.3194707544
132	0.3187180039
133	0.3177891516
134	0.3176266507
135	0.3167314929
136	0.3154178626
137	0.3142066443
138	0.3140330622
139	0.313649709
140	0.3132113672
141	0.3122038195
142	0.3107909842
143	0.310257747
144	0.3093496589
145	0.3088373889
146	0.3080837174
147	0.3068897505
148	0.3060356503
149	0.3049758996
150	0.3043381279
151	0.3038431068
152	0.3029803256
153	0.3022244117
154	0.3016146267
155	0.301041167
156	0.2998180783
157	0.2989388581
158	0.2984543324
159	0.2979118852
160	0.297559818
161	0.2971211543
162	0.2962684538
163	0.2958509661
164	0.2945026657
165	0.2943927345
166	0.2934918452
167	0.2926660017
168	0.2914279312
169	0.291040655
170	0.2907785098
171	0.290579254
172	0.2901567934
173	0.2898700766
174	0.2892760778
175	0.2882872533
176	0.2876624902
177	0.2872635004
178	0.286352022
179	0.2859740327
180	0.2855409313
181	0.2850249581
182	0.284139362
183	0.2837562548
184	0.2831431244
185	0.2828039991
186	0.2825029409
187	0.2821802124
188	0.2816953205
189	0.2799150731
190	0.2795162137
191	0.2791035053
192	0.2784789551
193	0.2780409006
194	0.2775133629
195	0.2768805869
196	0.2765805037
197	0.2758776578
198	0.2754176395
199	0.274831633
200	0.2745053441
201	0.2739432665
202	0.2737722016
203	0.2735813103
204	0.2733473878
205	0.2730635212
206	0.2723910794
207	0.2718740976
208	0.2710980288
209	0.270642727
210	0.2701107359
211	0.2697966128
212	0.2695735284
213	0.2687461874
214	0.2685615621
215	0.2674796406
216	0.2670181946
217	0.2667575752
218	0.2661205519
219	0.2652811122
220	0.2644638014
221	0.2637926723
222	0.2635480482
223	0.2632552947
224	0.2628345501
225	0.2622448149
226	0.2616228257
227	0.2609537748
228	0.2605668862
229	0.25951257
230	0.259047832
231	0.2586115385
232	0.2581822033
233	0.257677409
234	0.2574811938
235	0.2570953412
236	0.2567899197
237	0.2565209222
238	0.2559330971
239	0.2556296288
240	0.2551151012
241	0.254492028
242	0.254071878
243	0.2534362947
244	0.2524133364
245	0.2519697969
246	0.2517504415
247	0.2511185623
248	0.2508873409
249	0.2504465787
