iter	Passed	Remaining
0	0	193
1	1	174
2	2	178
3	3	188
4	3	181
5	4	174
6	4	171
7	5	179
8	6	172
9	6	166
10	7	168
11	8	163
12	8	160
13	9	158
14	10	159
15	11	162
16	11	164
17	12	160
18	12	157
19	13	156
20	14	156
21	15	157
22	16	163
23	17	165
24	18	164
25	19	165
26	19	162
27	20	158
28	20	157
29	21	154
30	21	151
31	21	148
32	22	146
33	22	144
34	23	142
35	23	140
36	23	137
37	24	137
38	27	148
39	28	151
40	29	150
41	31	153
42	31	152
43	32	150
44	32	150
45	33	149
46	34	147
47	34	146
48	35	147
49	36	146
50	37	144
51	37	142
52	37	140
53	38	139
54	38	137
55	39	137
56	41	139
57	42	139
58	42	138
59	43	138
60	44	137
61	45	136
62	45	135
63	46	133
64	46	132
65	46	130
66	47	129
67	47	128
68	48	126
69	48	125
70	49	123
71	49	122
72	50	121
73	50	120
74	50	118
75	51	117
76	51	116
77	52	114
78	52	113
79	52	112
80	53	110
81	53	109
82	53	108
83	54	107
84	54	106
85	55	104
86	55	103
87	55	102
88	56	101
89	56	100
90	56	99
91	57	98
92	57	97
93	58	96
94	58	95
95	58	94
96	59	93
97	59	92
98	60	91
99	60	90
100	60	89
101	61	88
102	61	87
103	61	86
104	62	85
105	62	85
106	62	84
107	63	83
108	63	82
109	64	81
110	64	80
111	65	80
112	65	79
113	65	78
114	66	77
115	66	77
116	67	76
117	67	75
118	67	74
119	68	73
120	68	73
121	68	72
122	69	71
123	69	70
124	69	69
125	70	69
126	70	68
127	71	67
128	71	66
129	71	66
130	72	65
131	72	64
132	72	64
133	73	64
134	74	63
135	74	62
136	75	61
137	75	61
138	75	60
139	76	59
140	76	59
141	76	58
142	77	57
143	77	57
144	77	56
145	78	55
146	78	55
147	79	54
148	79	53
149	79	53
150	80	52
151	80	51
152	80	51
153	81	50
154	81	49
155	81	49
156	82	48
157	82	48
158	82	47
159	83	46
160	83	46
161	83	45
162	84	45
163	84	44
164	84	43
165	85	43
166	85	42
167	86	41
168	86	41
169	86	40
170	87	40
171	87	39
172	87	39
173	88	38
174	88	37
175	88	37
176	89	36
177	89	36
178	89	35
179	90	35
180	90	34
181	90	33
182	91	33
183	91	32
184	91	32
185	92	31
186	92	31
187	92	30
188	93	30
189	93	29
190	93	29
191	94	28
192	94	27
193	94	27
194	95	26
195	95	26
196	96	25
197	96	25
198	97	24
199	97	24
200	97	23
201	98	23
202	98	22
203	99	22
204	99	21
205	99	21
206	100	20
207	100	20
208	100	19
209	101	19
210	101	18
211	101	18
212	102	17
213	102	17
214	102	16
215	103	16
216	103	15
217	103	15
218	104	14
219	104	14
220	104	13
221	105	13
222	105	12
223	105	12
224	106	11
225	106	11
226	106	10
227	107	10
228	107	9
229	107	9
230	108	8
231	108	8
232	108	7
233	109	7
234	109	6
235	109	6
236	110	6
237	110	5
238	111	5
239	111	4
240	112	4
241	112	3
242	112	3
243	113	2
244	113	2
245	113	1
246	114	1
247	114	0
248	114	0
249	115	0
